rank,title,director,actors,genre,Description,runtime,Votes,rating
182,Jiu Jitsu,Dimitri Logothetis,"Alain Moussi, Nicolas Cage, Raymond Pinharry, Mary Makariou","Action, Sci-Fi, Thriller","Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.",102,7336,2.9
183,My Spy,Peter Segal,"Dave Bautista, Chloe Coleman, Parisa Fitz-Henley, Kristen Schaal","Action, Comedy","A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.",99,27144,6.4
184,Psycho Goreman,Steven Kostanski,"Nita-Josee Hanna, Owen Myre, Matthew Ninaber, Steven Vlahos","Comedy, Horror, Sci-Fi","After unearthing a gem that controls an evil monster looking to destroy the Universe, a young girl and her brother use it to make him do their bidding.",95,9300,6.3
185,An American Pickle,Brandon Trost,"Seth Rogen, Sarah Snook, Molly Evensen, Eliot Glazer",Comedy,An immigrant worker at a pickle factory is accidentally preserved for 100 years and wakes up in modern-day Brooklyn.,88,19630,5.7
186,#Saraitda,Il Cho,"Yoo Ah-in, Park Shin-Hye, Jeon Bae-soo, Hyun-Wook Lee","Action, Drama, Horror","The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.",98,31481,6.3
187,Da 5 Bloods,Spike Lee,"Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis","Adventure, Drama, War",Four African-American vets battle the forces of man and nature when they return to Vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide.,154,47434,6.5
188,Mogul Mowgli,Bassam Tariq,"Riz Ahmed, Anjana Vasan, Aiysha Hart, Nabhaan Rizwan",Drama,"A British Pakistani rapper is on the cusp of his first world tour, but is struck down by an illness that threatens to derail his big break.",89,1805,6.7
189,Fatman,Eshom Nelms,"Mel Gibson, Walton Goggins, Marianne Jean-Baptiste, Chance Hurstfield","Action, Comedy, Fantasy","A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.",100,19433,5.9
190,Let Them All Talk,Steven Soderbergh,"Meryl Streep, Gemma Chan, Dianne Wiest, Christopher Fitzgerald","Comedy, Drama",A famous author goes on a cruise trip with her friends and nephew in an effort to find fun and happiness while she comes to terms with her troubled past.,113,8904,6.1
191,Hunter Hunter,Shawn Linden,"Camille Sullivan, Summer H. Howell, Devon Sawa, Nick Stahl","Horror, Thriller","Joseph and his family live in the remote wilderness as fur trappers, but their tranquility is threatened when they think they are being hunted by the return of a rogue wolf, and Joseph leaves them behind to track it.",93,7293,6.4
192,Host,Rob Savage,"Haley Bishop, Jemma Moore, Emma Louise Webb, Radina Drandova","Horror, Mystery","Six friends hire a medium to hold a seance via Zoom during lockdown, but they get far more than they bargained for as things quickly go wrong.",57,22829,6.5
193,Relic,Natalie Erika James,"Robyn Nevin, Emily Mortimer, Bella Heathcote, Steve Rodgers","Drama, Horror, Mystery","A daughter, mother and grandmother are haunted by a manifestation of dementia that consumes their family's home.",89,22567,6
194,WolfWalkers,Tomm Moore,"Honor Kneafsey, Eva Whittaker, Sean Bean, Simon McBurney","Animation, Adventure, Family",A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,103,25021,8.1
195,I Still Believe,Andrew Erwin,"K.J. Apa, Britt Robertson, Nathan Parsons, Gary Sinise","Biography, Drama, Music",The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.,116,10134,6.5
196,Bad Candy,Scott B. Hansen,"Zach Galligan, Corey Taylor, Derek Russo, Kenneth Trujillo","Horror, Thriller","On Halloween night in New Salem, Radio DJs Chilly Billy (Corey Taylor) and Paul (Zach Galligan) tell a twisted anthology of terrifying local myths that lead to a grim end for small-town residents.",100,40,6.5
197,BAC Nord,Cédric Jimenez,"Gilles Lellouche, François Civil, Karim Leklou, Adèle Exarchopoulos","Crime, Thriller","A police brigade working in the dangerous northern neighborhoods of Marseille, where the level of crime is higher than anywhere else in France.",105,659,7.4
198,The Secret: Dare to Dream,Andy Tennant,"Katie Holmes, Josh Lucas, Celia Weston, Jerry O'Connell","Drama, Romance","A feature film adaptation of the self-help book, 'The Secret', which focuses on the power of positive thinking.",107,11688,6.5
199,Gretel & Hansel,Oz Perkins,"Sophia Lillis, Samuel Leakey, Alice Krige, Jessica De Gouw","Fantasy, Horror, Mystery","A long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil.",87,27659,5.4
200,Hour of Lead,Peter Facinelli,"Anne Heche, Thomas Jane, Jason Patric, Alex Haydon","Crime, Mystery, Thriller","Story of a husband and wife that will stop at nothing to find their missing daughter, who disappeared on a family camping trip. When the police don't catch any leads, the duo take over.",115,8753,5.7
201,Blithe Spirit,Edward Hall,"Dan Stevens, Isla Fisher, Aimee-Ffion Edwards, Michele Dotrice","Comedy, Fantasy, Romance","A spiritualist medium holds a seance for a writer suffering from writer's block but accidentally summons the spirit of his deceased first wife, which leads to an increasingly complex love triangle with his current wife of five years.",99,4573,5.4
202,Force of Nature,Michael Polish,"Emile Hirsch, Mel Gibson, David Zayas, Kate Bosworth","Action, Crime, Drama",A gang of thieves plan a heist during a hurricane and encounter trouble when a cop tries to force everyone in the building to evacuate.,91,9378,4.5
203,The Toll,Michael Nader,"Jordan Hayes, Max Topplin, James McGowan, Rosemary Dunsmore","Horror, Thriller",A socially awkward driver and a weary passenger try to make it to their destination while being haunted by a supernatural threat.,80,1913,5.3
204,One Night in Miami...,Regina King,"Kingsley Ben-Adir, Eli Goree, Aldis Hodge, Leslie Odom Jr.",Drama,"A fictional account of one incredible night where icons Muhammad Ali, Malcolm X, Sam Cooke, and Jim Brown gathered discussing their roles in the Civil Rights Movement and cultural upheaval of the 60s.",114,28574,7.1
205,What Lies Below,Braden R. Duemmler,"Ema Horvath, Troy Iwata, Danny Corbo, Mena Suvari","Horror, Mystery, Sci-Fi","A 16-year-old girl returns home from camp and learns that her mother has a new boyfriend, one she intends to marry. A man whose charm, intelligence and beauty make him look like he's not human at all.",87,7461,4.3
206,Butchers,Adrian Langley,"Simon Phillips, Michael Swatton, Julie Mainville, Anne-Carolyne Binette",Horror,"A family of sadistic butchers has dug into the back country and, from the deep freeze of winter to the dog days of summer, anyone who crosses their path is dead meat.",92,1553,4.6
